phi,theta,Value,image
3,4,9,prs_images/16898.vti_22.prs.png
3,5,9,prs_images/16898.vti_23.prs.png
0,0,10,prs_images/17954.vti_0.prs.png
0,1,10,prs_images/17954.vti_1.prs.png
0,2,10,prs_images/17954.vti_2.prs.png
0,3,10,prs_images/17954.vti_3.prs.png
0,4,10,prs_images/17954.vti_4.prs.png
0,5,10,prs_images/17954.vti_5.prs.png
1,0,10,prs_images/17954.vti_6.prs.png
1,1,10,prs_images/17954.vti_7.prs.png
1,2,10,prs_images/17954.vti_8.prs.png
1,3,10,prs_images/17954.vti_9.prs.png
1,4,10,prs_images/17954.vti_10.prs.png
1,5,10,prs_images/17954.vti_11.prs.png
2,0,10,prs_images/17954.vti_12.prs.png
2,1,10,prs_images/17954.vti_13.prs.png
2,2,10,prs_images/17954.vti_14.prs.png
2,3,10,prs_images/17954.vti_15.prs.png
2,4,10,prs_images/17954.vti_16.prs.png
2,5,10,prs_images/17954.vti_17.prs.png
3,0,10,prs_images/17954.vti_18.prs.png
3,1,10,prs_images/17954.vti_19.prs.png
3,2,10,prs_images/17954.vti_20.prs.png
3,3,10,prs_images/17954.vti_21.prs.png
3,4,10,prs_images/17954.vti_22.prs.png
3,5,10,prs_images/17954.vti_23.prs.png
0,0,11,prs_images/18741.vti_0.prs.png
0,1,11,prs_images/18741.vti_1.prs.png
0,2,11,prs_images/18741.vti_2.prs.png
0,3,11,prs_images/18741.vti_3.prs.png
0,4,11,prs_images/18741.vti_4.prs.png
0,5,11,prs_images/18741.vti_5.prs.png
1,0,11,prs_images/18741.vti_6.prs.png
1,1,11,prs_images/18741.vti_7.prs.png
1,2,11,prs_images/18741.vti_8.prs.png
1,3,11,prs_images/18741.vti_9.prs.png
1,4,11,prs_images/18741.vti_10.prs.png
1,5,11,prs_images/18741.vti_11.prs.png
2,0,11,prs_images/18741.vti_12.prs.png
2,1,11,prs_images/18741.vti_13.prs.png
2,2,11,prs_images/18741.vti_14.prs.png
2,3,11,prs_images/18741.vti_15.prs.png
2,4,11,prs_images/18741.vti_16.prs.png
2,5,11,prs_images/18741.vti_17.prs.png
3,0,11,prs_images/18741.vti_18.prs.png
3,1,11,prs_images/18741.vti_19.prs.png
3,2,11,prs_images/18741.vti_20.prs.png
3,3,11,prs_images/18741.vti_21.prs.png
3,4,11,prs_images/18741.vti_22.prs.png
3,5,11,prs_images/18741.vti_23.prs.png
0,0,12,prs_images/19021.vti_0.prs.png
0,1,12,prs_images/19021.vti_1.prs.png
0,2,12,prs_images/19021.vti_2.prs.png
0,3,12,prs_images/19021.vti_3.prs.png
0,4,12,prs_images/19021.vti_4.prs.png
0,5,12,prs_images/19021.vti_5.prs.png
1,0,12,prs_images/19021.vti_6.prs.png
1,1,12,prs_images/19021.vti_7.prs.png
1,2,12,prs_images/19021.vti_8.prs.png
1,3,12,prs_images/19021.vti_9.prs.png
1,4,12,prs_images/19021.vti_10.prs.png
1,5,12,prs_images/19021.vti_11.prs.png
2,0,12,prs_images/19021.vti_12.prs.png
2,1,12,prs_images/19021.vti_13.prs.png
2,2,12,prs_images/19021.vti_14.prs.png
2,3,12,prs_images/19021.vti_15.prs.png
2,4,12,prs_images/19021.vti_16.prs.png
2,5,12,prs_images/19021.vti_17.prs.png
3,0,12,prs_images/19021.vti_18.prs.png
3,1,12,prs_images/19021.vti_19.prs.png
3,2,12,prs_images/19021.vti_20.prs.png
3,3,12,prs_images/19021.vti_21.prs.png
3,4,12,prs_images/19021.vti_22.prs.png
3,5,12,prs_images/19021.vti_23.prs.png
0,0,13,prs_images/19749.vti_0.prs.png
0,1,13,prs_images/19749.vti_1.prs.png
0,2,13,prs_images/19749.vti_2.prs.png
0,3,13,prs_images/19749.vti_3.prs.png
0,4,13,prs_images/19749.vti_4.prs.png
0,5,13,prs_images/19749.vti_5.prs.png
1,0,13,prs_images/19749.vti_6.prs.png
1,1,13,prs_images/19749.vti_7.prs.png
1,2,13,prs_images/19749.vti_8.prs.png
1,3,13,prs_images/19749.vti_9.prs.png
1,4,13,prs_images/19749.vti_10.prs.png
1,5,13,prs_images/19749.vti_11.prs.png
2,0,13,prs_images/19749.vti_12.prs.png
2,1,13,prs_images/19749.vti_13.prs.png
2,2,13,prs_images/19749.vti_14.prs.png
2,3,13,prs_images/19749.vti_15.prs.png
2,4,13,prs_images/19749.vti_16.prs.png
2,5,13,prs_images/19749.vti_17.prs.png
3,0,13,prs_images/19749.vti_18.prs.png
3,1,13,prs_images/19749.vti_19.prs.png
3,2,13,prs_images/19749.vti_20.prs.png
3,3,13,prs_images/19749.vti_21.prs.png
3,4,13,prs_images/19749.vti_22.prs.png
3,5,13,prs_images/19749.vti_23.prs.png
0,0,14,prs_images/20550.vti_0.prs.png
0,1,14,prs_images/20550.vti_1.prs.png
