phi,theta,Value,image
1,5,11,tev_images/18741.vti_11.png
2,0,11,tev_images/18741.vti_12.png
2,1,11,tev_images/18741.vti_13.png
2,2,11,tev_images/18741.vti_14.png
2,3,11,tev_images/18741.vti_15.png
2,4,11,tev_images/18741.vti_16.png
2,5,11,tev_images/18741.vti_17.png
3,0,11,tev_images/18741.vti_18.png
3,1,11,tev_images/18741.vti_19.png
3,2,11,tev_images/18741.vti_20.png
3,3,11,tev_images/18741.vti_21.png
3,4,11,tev_images/18741.vti_22.png
3,5,11,tev_images/18741.vti_23.png
0,0,12,tev_images/19021.vti_0.png
0,1,12,tev_images/19021.vti_1.png
0,2,12,tev_images/19021.vti_2.png
0,3,12,tev_images/19021.vti_3.png
0,4,12,tev_images/19021.vti_4.png
0,5,12,tev_images/19021.vti_5.png
1,0,12,tev_images/19021.vti_6.png
1,1,12,tev_images/19021.vti_7.png
1,2,12,tev_images/19021.vti_8.png
1,3,12,tev_images/19021.vti_9.png
1,4,12,tev_images/19021.vti_10.png
1,5,12,tev_images/19021.vti_11.png
2,0,12,tev_images/19021.vti_12.png
2,1,12,tev_images/19021.vti_13.png
2,2,12,tev_images/19021.vti_14.png
2,3,12,tev_images/19021.vti_15.png
2,4,12,tev_images/19021.vti_16.png
2,5,12,tev_images/19021.vti_17.png
3,0,12,tev_images/19021.vti_18.png
3,1,12,tev_images/19021.vti_19.png
3,2,12,tev_images/19021.vti_20.png
3,3,12,tev_images/19021.vti_21.png
3,4,12,tev_images/19021.vti_22.png
3,5,12,tev_images/19021.vti_23.png
0,0,13,tev_images/19749.vti_0.png
0,1,13,tev_images/19749.vti_1.png
0,2,13,tev_images/19749.vti_2.png
0,3,13,tev_images/19749.vti_3.png
0,4,13,tev_images/19749.vti_4.png
0,5,13,tev_images/19749.vti_5.png
1,0,13,tev_images/19749.vti_6.png
1,1,13,tev_images/19749.vti_7.png
1,2,13,tev_images/19749.vti_8.png
1,3,13,tev_images/19749.vti_9.png
1,4,13,tev_images/19749.vti_10.png
1,5,13,tev_images/19749.vti_11.png
2,0,13,tev_images/19749.vti_12.png
2,1,13,tev_images/19749.vti_13.png
2,2,13,tev_images/19749.vti_14.png
2,3,13,tev_images/19749.vti_15.png
2,4,13,tev_images/19749.vti_16.png
2,5,13,tev_images/19749.vti_17.png
3,0,13,tev_images/19749.vti_18.png
3,1,13,tev_images/19749.vti_19.png
3,2,13,tev_images/19749.vti_20.png
3,3,13,tev_images/19749.vti_21.png
3,4,13,tev_images/19749.vti_22.png
3,5,13,tev_images/19749.vti_23.png
0,0,14,tev_images/20550.vti_0.png
0,1,14,tev_images/20550.vti_1.png
0,2,14,tev_images/20550.vti_2.png
0,3,14,tev_images/20550.vti_3.png
0,4,14,tev_images/20550.vti_4.png
0,5,14,tev_images/20550.vti_5.png
1,0,14,tev_images/20550.vti_6.png
1,1,14,tev_images/20550.vti_7.png
1,2,14,tev_images/20550.vti_8.png
1,3,14,tev_images/20550.vti_9.png
1,4,14,tev_images/20550.vti_10.png
1,5,14,tev_images/20550.vti_11.png
2,0,14,tev_images/20550.vti_12.png
2,1,14,tev_images/20550.vti_13.png
2,2,14,tev_images/20550.vti_14.png
2,3,14,tev_images/20550.vti_15.png
2,4,14,tev_images/20550.vti_16.png
2,5,14,tev_images/20550.vti_17.png
3,0,14,tev_images/20550.vti_18.png
3,1,14,tev_images/20550.vti_19.png
3,2,14,tev_images/20550.vti_20.png
3,3,14,tev_images/20550.vti_21.png
3,4,14,tev_images/20550.vti_22.png
3,5,14,tev_images/20550.vti_23.png
0,0,15,tev_images/22010.vti_0.png
0,1,15,tev_images/22010.vti_1.png
0,2,15,tev_images/22010.vti_2.png
0,3,15,tev_images/22010.vti_3.png
0,4,15,tev_images/22010.vti_4.png
0,5,15,tev_images/22010.vti_5.png
1,0,15,tev_images/22010.vti_6.png
1,1,15,tev_images/22010.vti_7.png
1,2,15,tev_images/22010.vti_8.png
1,3,15,tev_images/22010.vti_9.png
1,4,15,tev_images/22010.vti_10.png
1,5,15,tev_images/22010.vti_11.png
2,0,15,tev_images/22010.vti_12.png
2,1,15,tev_images/22010.vti_13.png
2,2,15,tev_images/22010.vti_14.png
2,3,15,tev_images/22010.vti_15.png
2,4,15,tev_images/22010.vti_16.png
2,5,15,tev_images/22010.vti_17.png
3,0,15,tev_images/22010.vti_18.png
3,1,15,tev_images/22010.vti_19.png
3,2,15,tev_images/22010.vti_20.png
3,3,15,tev_images/22010.vti_21.png
3,4,15,tev_images/22010.vti_22.png
3,5,15,tev_images/22010.vti_23.png
0,0,16,tev_images/23341.vti_0.png
0,1,16,tev_images/23341.vti_1.png
0,2,16,tev_images/23341.vti_2.png
0,3,16,tev_images/23341.vti_3.png
0,4,16,tev_images/23341.vti_4.png
0,5,16,tev_images/23341.vti_5.png
1,0,16,tev_images/23341.vti_6.png
1,1,16,tev_images/23341.vti_7.png
1,2,16,tev_images/23341.vti_8.png
1,3,16,tev_images/23341.vti_9.png
1,4,16,tev_images/23341.vti_10.png
1,5,16,tev_images/23341.vti_11.png
2,0,16,tev_images/23341.vti_12.png
2,1,16,tev_images/23341.vti_13.png
2,2,16,tev_images/23341.vti_14.png
2,3,16,tev_images/23341.vti_15.png
2,4,16,tev_images/23341.vti_16.png
2,5,16,tev_images/23341.vti_17.png
3,0,16,tev_images/23341.vti_18.png
3,1,16,tev_images/23341.vti_19.png
3,2,16,tev_images/23341.vti_20.png
3,3,16,tev_images/23341.vti_21.png
3,4,16,tev_images/23341.vti_22.png
3,5,16,tev_images/23341.vti_23.png
0,0,17,tev_images/24095.vti_0.png
0,1,17,tev_images/24095.vti_1.png
0,2,17,tev_images/24095.vti_2.png
0,3,17,tev_images/24095.vti_3.png
0,4,17,tev_images/24095.vti_4.png
0,5,17,tev_images/24095.vti_5.png
1,0,17,tev_images/24095.vti_6.png
1,1,17,tev_images/24095.vti_7.png
1,2,17,tev_images/24095.vti_8.png
1,3,17,tev_images/24095.vti_9.png
1,4,17,tev_images/24095.vti_10.png
1,5,17,tev_images/24095.vti_11.png
2,0,17,tev_images/24095.vti_12.png
2,1,17,tev_images/24095.vti_13.png
2,2,17,tev_images/24095.vti_14.png
2,3,17,tev_images/24095.vti_15.png
2,4,17,tev_images/24095.vti_16.png
2,5,17,tev_images/24095.vti_17.png
3,0,17,tev_images/24095.vti_18.png
3,1,17,tev_images/24095.vti_19.png
3,2,17,tev_images/24095.vti_20.png
3,3,17,tev_images/24095.vti_21.png
3,4,17,tev_images/24095.vti_22.png
3,5,17,tev_images/24095.vti_23.png
0,0,18,tev_images/25659.vti_0.png
0,1,18,tev_images/25659.vti_1.png
0,2,18,tev_images/25659.vti_2.png
0,3,18,tev_images/25659.vti_3.png
0,4,18,tev_images/25659.vti_4.png
0,5,18,tev_images/25659.vti_5.png
1,0,18,tev_images/25659.vti_6.png
1,1,18,tev_images/25659.vti_7.png
1,2,18,tev_images/25659.vti_8.png
1,3,18,tev_images/25659.vti_9.png
1,4,18,tev_images/25659.vti_10.png
1,5,18,tev_images/25659.vti_11.png
2,0,18,tev_images/25659.vti_12.png
2,1,18,tev_images/25659.vti_13.png
2,2,18,tev_images/25659.vti_14.png
2,3,18,tev_images/25659.vti_15.png
2,4,18,tev_images/25659.vti_16.png
2,5,18,tev_images/25659.vti_17.png
3,0,18,tev_images/25659.vti_18.png
3,1,18,tev_images/25659.vti_19.png
3,2,18,tev_images/25659.vti_20.png
3,3,18,tev_images/25659.vti_21.png
3,4,18,tev_images/25659.vti_22.png
3,5,18,tev_images/25659.vti_23.png
0,0,19,tev_images/26103.vti_0.png
0,1,19,tev_images/26103.vti_1.png
0,2,19,tev_images/26103.vti_2.png
0,3,19,tev_images/26103.vti_3.png
0,4,19,tev_images/26103.vti_4.png
0,5,19,tev_images/26103.vti_5.png
1,0,19,tev_images/26103.vti_6.png
1,1,19,tev_images/26103.vti_7.png
1,2,19,tev_images/26103.vti_8.png
1,3,19,tev_images/26103.vti_9.png
1,4,19,tev_images/26103.vti_10.png
1,5,19,tev_images/26103.vti_11.png
2,0,19,tev_images/26103.vti_12.png
2,1,19,tev_images/26103.vti_13.png
2,2,19,tev_images/26103.vti_14.png
2,3,19,tev_images/26103.vti_15.png
2,4,19,tev_images/26103.vti_16.png
2,5,19,tev_images/26103.vti_17.png
3,0,19,tev_images/26103.vti_18.png
3,1,19,tev_images/26103.vti_19.png
3,2,19,tev_images/26103.vti_20.png
3,3,19,tev_images/26103.vti_21.png
3,4,19,tev_images/26103.vti_22.png
3,5,19,tev_images/26103.vti_23.png
0,0,20,tev_images/27970.vti_0.png
0,1,20,tev_images/27970.vti_1.png
0,2,20,tev_images/27970.vti_2.png
0,3,20,tev_images/27970.vti_3.png
0,4,20,tev_images/27970.vti_4.png
0,5,20,tev_images/27970.vti_5.png
1,0,20,tev_images/27970.vti_6.png
1,1,20,tev_images/27970.vti_7.png
1,2,20,tev_images/27970.vti_8.png
1,3,20,tev_images/27970.vti_9.png
1,4,20,tev_images/27970.vti_10.png
1,5,20,tev_images/27970.vti_11.png
2,0,20,tev_images/27970.vti_12.png
2,1,20,tev_images/27970.vti_13.png
2,2,20,tev_images/27970.vti_14.png
2,3,20,tev_images/27970.vti_15.png
2,4,20,tev_images/27970.vti_16.png
2,5,20,tev_images/27970.vti_17.png
3,0,20,tev_images/27970.vti_18.png
3,1,20,tev_images/27970.vti_19.png
3,2,20,tev_images/27970.vti_20.png
3,3,20,tev_images/27970.vti_21.png
3,4,20,tev_images/27970.vti_22.png
